file,type,count,distinct_retired_ids,retired_ids,lines_also_naming_an_in_service_module
code_audit/run36_instrument_qualification.csv,per-module audit rows (committed artifact),39,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run37_execution_census.csv,per-module audit rows (committed artifact),39,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
server/app/simulation/models.py,simulation source (formula/registry/canonical),39,10,A1.1 B2.14 B4.1 B4.2 B4.6 D1.1 D1.2 D1.3 D1.4 D1.5,3
server/tools/test_run27_parsimony_proofs.py,test suite,39,17,A2.11 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.3 B2.4 B2.5 B2.6 D1.1 D1.2 D1.3 D1.5,3
GROUP_ASSIGNMENT.md,documentation / report prose,38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,2
assets/js/ds_defensibility_evidence.js,browser taxonomy / render source,38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run11_browser_server_parity.csv,per-module audit rows (committed artifact),38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run11_category9_qualification.csv,per-module audit rows (committed artifact),38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,38
code_audit/run11_defensibility_claim_audit.csv,per-module audit rows (committed artifact),38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run13_master_101_inventory.csv,per-module audit rows (committed artifact),38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
