label,element_class,element_type,element_name,shape,rendered_fill_or_stroke,rendered_stroke,rendered_opacity,filter,state_or_class,allowed_on_empty_project,verdict
after,edge,MODULE -> CATEGORY,Float Consumption Rate->Schedule Perform,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,S-Curve Deviation->Schedule Performance,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Milestone Trend Analysis->Schedule Perfo,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Look-Ahead Schedule Health->Schedule Per,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Resource Loading Index->Schedule Perform,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Schedule Risk Analysis P80->Schedule Per,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Critical Path Index->Schedule Performanc,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Reference Class Forecasting->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Contingency Burn Rate->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Labor Productivity Index->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Material Cost Variance->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Overhead Absorption Rate->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Cost Risk Analysis P80->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Analogous Estimating Ratio->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Parametric Cost Index->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Inflation Adjustment Index->Cost Risk,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Document Risk Score->Document-Derived Co,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,RFI Velocity->Document-Derived Condition,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Submittal Rejection Rate->Document-Deriv,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,NCR Rate->Document-Derived Condition Sig,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Weather Day Impact->Document-Derived Con,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Change Order Frequency->Document-Derived,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Dispute Escalation Index->Document-Deriv,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Subcontractor Performance->Document-Deri,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Procurement Lead Time Monitor->Document-,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Specification Conflict Density->Document,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,DSM Rework Propagation->System Dynamics ,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Sensitivity Analysis->System Dynamics an,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Tornado Risk Ranking->System Dynamics an,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Scenario Modeling->System Dynamics and C,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Rework Feedback Loop->System Dynamics an,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
after,edge,MODULE -> CATEGORY,Queueing Theory Bottleneck->System Dynam,path,#9aa2ae,,0.14,,lnf-static,yes,PASS
